"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Comprobar fechas renuncia","1","0","Test Suite-22","0"
"0","","0","Borra solicitante","1","0","Test Suite-14","0"
"0","","0","Autenticación Ok","1","0","Test Suite-01","0"
"0","","0","Crear Responsable","1","0","Test Suite-07","0"
"0","","0","Intento solicitante sin titulación suficiente","1","0","Test Suite-12","0"
"0","","0","Renuncia contrato","1","0","Test Suite-21","0"
"0","","0","Borrar convocatoria","1","0","Test Suite-10","0"
"0","","0","Comprobación nóminas renovación","1","0","Test Suite-20","0"
"0","","0","Login y desplegar Resp","1","0","Test Suite-04","0"
"0","","0","Crea solicitante ok","1","0","Test Suite-13","0"
"0","","0","Login y desplegar Sol","1","0","Test Suite-06","0"
"0","","0","Comprobar creación nóminas","1","0","Test Suite-17","0"
"0","","0","Crear convocatoria","1","0","Test Suite-09","0"
"0","","0","Login y desplegar Proy","1","0","Test Suite-05","0"
"0","","0","Crea contrato y nóminas","1","0","Test Suite-15","0"
"0","","0","Validan fechas ini-fin renovación","1","0","Test Suite-18","0"
"0","","0","Validar fechas inicio-fin contrato","1","0","Test Suite-16","0"
"0","","0","Borrar responsable","1","0","Test Suite-11","0"
"0","","0","Intenta crear convo. cerrada","1","0","Test Suite-11","0"
"0","","0","Login y desplegar Admin","1","0","Test Suite-03","0"
"0","","0","Autenticacion Errónea","1","0","Test Suite-02","0"
"0","","0","Renovacion contrato","1","0","Test Suite-19","0"
